[2026-04-25T09:20:20.408+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/27 [status:200 request:0.010s]
[2026-04-25T09:20:20.420+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/28 [status:200 request:0.008s]
[2026-04-25T09:20:20.434+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/29 [status:200 request:0.009s]
[2026-04-25T09:20:20.452+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/30 [status:200 request:0.009s]
[2026-04-25T09:20:20.593+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/31 [status:200 request:0.134s]
[2026-04-25T09:20:20.613+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/32 [status:200 request:0.007s]
[2026-04-25T09:20:20.625+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/33 [status:200 request:0.009s]
[2026-04-25T09:20:20.637+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/34 [status:200 request:0.008s]
[2026-04-25T09:20:20.651+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/35 [status:200 request:0.009s]
[2026-04-25T09:20:20.683+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/36 [status:200 request:0.025s]
[2026-04-25T09:20:20.704+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/37 [status:200 request:0.011s]
[2026-04-25T09:20:20.717+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/38 [status:200 request:0.008s]
[2026-04-25T09:20:20.732+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/39 [status:200 request:0.011s]
[2026-04-25T09:20:20.745+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/40 [status:200 request:0.008s]
[2026-04-25T09:20:20.759+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/41 [status:200 request:0.011s]
[2026-04-25T09:20:20.773+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/42 [status:200 request:0.009s]
[2026-04-25T09:20:20.784+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/43 [status:200 request:0.008s]
[2026-04-25T09:20:20.796+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/44 [status:200 request:0.009s]
[2026-04-25T09:20:20.812+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/45 [status:200 request:0.012s]
[2026-04-25T09:20:20.830+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/46 [status:200 request:0.012s]
[2026-04-25T09:20:20.850+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/47 [status:200 request:0.015s]
[2026-04-25T09:20:20.864+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/48 [status:200 request:0.008s]
[2026-04-25T09:20:20.879+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/49 [status:200 request:0.011s]
[2026-04-25T09:20:20.892+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/50 [status:200 request:0.009s]
[2026-04-25T09:20:20.906+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/51 [status:200 request:0.010s]
[2026-04-25T09:20:20.920+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/52 [status:200 request:0.008s]
[2026-04-25T09:20:20.935+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/53 [status:200 request:0.009s]
[2026-04-25T09:20:20.953+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/54 [status:200 request:0.010s]
[2026-04-25T09:20:20.969+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/55 [status:200 request:0.010s]
[2026-04-25T09:20:20.999+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/56 [status:200 request:0.019s]
[2026-04-25T09:20:21.014+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/57 [status:200 request:0.011s]
[2026-04-25T09:20:21.028+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/58 [status:200 request:0.009s]
[2026-04-25T09:20:21.042+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/59 [status:200 request:0.010s]
[2026-04-25T09:20:21.062+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/60 [status:200 request:0.016s]
[2026-04-25T09:20:21.091+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/61 [status:200 request:0.021s]
[2026-04-25T09:20:21.145+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/62 [status:200 request:0.016s]
[2026-04-25T09:20:21.165+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/63 [status:200 request:0.012s]
[2026-04-25T09:20:21.191+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/64 [status:200 request:0.016s]
[2026-04-25T09:20:21.214+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/65 [status:200 request:0.015s]
[2026-04-25T09:20:21.240+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/66 [status:200 request:0.023s]
[2026-04-25T09:20:21.328+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/67 [status:200 request:0.042s]
[2026-04-25T09:20:21.338+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/68 [status:200 request:0.006s]
[2026-04-25T09:20:21.348+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/69 [status:200 request:0.007s]
[2026-04-25T09:20:21.359+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/70 [status:200 request:0.007s]
[2026-04-25T09:20:21.368+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/71 [status:200 request:0.006s]
[2026-04-25T09:20:21.381+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/72 [status:200 request:0.010s]
[2026-04-25T09:20:21.432+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/73 [status:200 request:0.035s]
[2026-04-25T09:20:21.652+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/74 [status:200 request:0.185s]
[2026-04-25T09:20:21.669+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/75 [status:200 request:0.011s]
[2026-04-25T09:20:21.688+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/76 [status:200 request:0.007s]
[2026-04-25T09:20:21.700+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/77 [status:200 request:0.008s]
[2026-04-25T09:20:21.716+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/78 [status:200 request:0.007s]
[2026-04-25T09:20:21.746+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/79 [status:200 request:0.018s]
[2026-04-25T09:20:21.760+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/80 [status:200 request:0.008s]
[2026-04-25T09:20:21.778+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/81 [status:200 request:0.013s]
[2026-04-25T09:20:21.792+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/82 [status:200 request:0.010s]
[2026-04-25T09:20:21.807+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/83 [status:200 request:0.010s]
[2026-04-25T09:20:21.821+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/84 [status:200 request:0.009s]
[2026-04-25T09:20:21.843+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/85 [status:200 request:0.017s]
[2026-04-25T09:20:21.861+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/86 [status:200 request:0.010s]
[2026-04-25T09:20:21.875+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/87 [status:200 request:0.010s]
[2026-04-25T09:20:21.887+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/88 [status:200 request:0.006s]
[2026-04-25T09:20:21.909+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/89 [status:200 request:0.008s]
[2026-04-25T09:20:21.924+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/90 [status:200 request:0.009s]
[2026-04-25T09:20:21.941+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/91 [status:200 request:0.011s]
[2026-04-25T09:20:21.961+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/92 [status:200 request:0.015s]
[2026-04-25T09:20:21.984+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/93 [status:200 request:0.007s]
[2026-04-25T09:20:21.998+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/94 [status:200 request:0.010s]
[2026-04-25T09:20:22.012+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/95 [status:200 request:0.009s]
[2026-04-25T09:20:22.030+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/96 [status:200 request:0.012s]
[2026-04-25T09:20:22.045+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/97 [status:200 request:0.009s]
[2026-04-25T09:20:22.083+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/98 [status:200 request:0.017s]
[2026-04-25T09:20:22.101+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/99 [status:200 request:0.012s]
[2026-04-25T09:20:22.113+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/100 [status:200 request:0.008s]
[2026-04-25T09:20:22.137+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/101 [status:200 request:0.011s]
[2026-04-25T09:20:22.156+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/102 [status:200 request:0.010s]
[2026-04-25T09:20:22.182+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/103 [status:200 request:0.018s]
[2026-04-25T09:20:22.201+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/104 [status:200 request:0.014s]
[2026-04-25T09:20:22.244+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/105 [status:200 request:0.027s]
[2026-04-25T09:20:22.298+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/106 [status:200 request:0.045s]
