[2026-04-25T09:30:20.674+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/27 [status:200 request:0.023s]
[2026-04-25T09:30:20.685+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/28 [status:200 request:0.005s]
[2026-04-25T09:30:20.700+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/29 [status:200 request:0.008s]
[2026-04-25T09:30:20.707+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/30 [status:200 request:0.005s]
[2026-04-25T09:30:20.720+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/31 [status:200 request:0.007s]
[2026-04-25T09:30:20.729+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/32 [status:200 request:0.007s]
[2026-04-25T09:30:20.736+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/33 [status:200 request:0.005s]
[2026-04-25T09:30:20.745+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/34 [status:200 request:0.006s]
[2026-04-25T09:30:20.753+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/35 [status:200 request:0.006s]
[2026-04-25T09:30:20.775+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/36 [status:200 request:0.018s]
[2026-04-25T09:30:20.787+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/37 [status:200 request:0.005s]
[2026-04-25T09:30:20.796+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/38 [status:200 request:0.007s]
[2026-04-25T09:30:20.804+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/39 [status:200 request:0.005s]
[2026-04-25T09:30:20.816+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/40 [status:200 request:0.009s]
[2026-04-25T09:30:20.827+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/41 [status:200 request:0.008s]
[2026-04-25T09:30:20.836+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/42 [status:200 request:0.006s]
[2026-04-25T09:30:20.844+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/43 [status:200 request:0.006s]
[2026-04-25T09:30:20.852+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/44 [status:200 request:0.005s]
[2026-04-25T09:30:20.860+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/45 [status:200 request:0.006s]
[2026-04-25T09:30:20.870+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/46 [status:200 request:0.005s]
[2026-04-25T09:30:20.882+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/47 [status:200 request:0.009s]
[2026-04-25T09:30:20.894+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/48 [status:200 request:0.008s]
[2026-04-25T09:30:20.910+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/49 [status:200 request:0.011s]
[2026-04-25T09:30:20.920+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/50 [status:200 request:0.006s]
[2026-04-25T09:30:20.930+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/51 [status:200 request:0.007s]
[2026-04-25T09:30:20.940+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/52 [status:200 request:0.006s]
[2026-04-25T09:30:20.950+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/53 [status:200 request:0.007s]
[2026-04-25T09:30:20.962+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/54 [status:200 request:0.008s]
[2026-04-25T09:30:20.973+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/55 [status:200 request:0.008s]
[2026-04-25T09:30:20.985+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/56 [status:200 request:0.008s]
[2026-04-25T09:30:20.993+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/57 [status:200 request:0.005s]
[2026-04-25T09:30:21.002+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/58 [status:200 request:0.006s]
[2026-04-25T09:30:21.011+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/59 [status:200 request:0.006s]
[2026-04-25T09:30:21.021+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/60 [status:200 request:0.006s]
[2026-04-25T09:30:21.031+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/61 [status:200 request:0.007s]
[2026-04-25T09:30:21.039+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/62 [status:200 request:0.005s]
[2026-04-25T09:30:21.053+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/63 [status:200 request:0.011s]
[2026-04-25T09:30:21.068+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/64 [status:200 request:0.011s]
[2026-04-25T09:30:21.082+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/65 [status:200 request:0.012s]
[2026-04-25T09:30:21.101+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/66 [status:200 request:0.016s]
[2026-04-25T09:30:21.129+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/67 [status:200 request:0.018s]
[2026-04-25T09:30:21.137+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/68 [status:200 request:0.006s]
[2026-04-25T09:30:21.147+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/69 [status:200 request:0.007s]
[2026-04-25T09:30:21.155+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/70 [status:200 request:0.005s]
[2026-04-25T09:30:21.168+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/71 [status:200 request:0.010s]
[2026-04-25T09:30:21.180+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/72 [status:200 request:0.009s]
[2026-04-25T09:30:21.201+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/73 [status:200 request:0.017s]
[2026-04-25T09:30:21.216+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/74 [status:200 request:0.011s]
[2026-04-25T09:30:21.230+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/75 [status:200 request:0.011s]
[2026-04-25T09:30:21.246+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/76 [status:200 request:0.011s]
[2026-04-25T09:30:21.254+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/77 [status:200 request:0.006s]
